dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
organamnist,0.5,fedavg,240,88.54558344328362,3.5702357892916874,3
organamnist,0.5,fedavg,255,89.3673519221038,2.9433396913918357,3
organamnist,0.5,fedavg,270,89.26819501149019,3.1906908600712067,3
organamnist,0.5,fedavg,285,89.17610100066447,3.144919128369252,3
organamnist,0.5,fedavg,300,89.15110046948358,3.1196933602052117,3
organamnist,0.5,fedpac,1,14.36305956388083,7.1336982631203,3
organamnist,0.5,fedpac,15,68.1042390396773,3.720154796852114,3
organamnist,0.5,fedpac,30,78.79474187577317,2.8995402929891454,3
organamnist,0.5,fedpac,45,82.2045937723282,2.844309678509904,3
organamnist,0.5,fedpac,60,81.62120423115697,4.409556049590488,3
organamnist,0.5,fedpac,75,84.92978105999151,3.8005712135355805,3
organamnist,0.5,fedpac,90,79.93065042503483,11.700495761121495,3
organamnist,0.5,fedpac,105,85.45841752732625,3.418632292747092,3
organamnist,0.5,fedpac,120,80.05329264245984,13.056687288410826,3
organamnist,0.5,fedpac,135,80.36229133443975,6.570107955646486,3
organamnist,0.5,fedpac,150,78.99929748824833,10.709652998279758,3
organamnist,0.5,fedpac,165,62.13981416474592,44.03545613378628,3
organamnist,0.5,fedpac,180,66.40265554133421,38.40706404209787,3
organamnist,0.5,fedpac,195,77.25934041294714,21.33784057600368,3
organamnist,0.5,fedpac,210,74.16844171391983,25.75122832644301,3
organamnist,0.5,fedpac,225,70.05765460898768,34.08132480445701,3
organamnist,0.5,fedpac,240,74.17248354549444,26.770339303524832,3
organamnist,0.5,fedpac,255,66.45429186127684,40.7019545175911,3
organamnist,0.5,fedpac,270,80.82638729948403,15.569196598487652,3
organamnist,0.5,fedpac,285,83.54277534489108,10.967499912177749,3
organamnist,0.5,fedpac,300,83.31906432211665,11.577509503183801,3
organamnist,0.5,fedsa,1,23.98075566067031,7.459138235449559,3
organamnist,0.5,fedsa,15,67.19257268078529,4.410945452714954,3
organamnist,0.5,fedsa,30,71.8240257288414,3.7315340914164286,3
organamnist,0.5,fedsa,45,53.54547768188,33.53223226164456,3
organamnist,0.5,fedsa,60,74.03435158263366,6.795266859206638,3
organamnist,0.5,fedsa,75,75.41012924869834,7.518350328858192,3
organamnist,0.5,fedsa,90,74.26207350489464,4.537235668137363,3
organamnist,0.5,fedsa,105,77.44965012335456,1.7210051660217687,3
organamnist,0.5,fedsa,120,77.0287232413842,9.022405313411387,3
organamnist,0.5,fedsa,135,75.45887448583434,6.621351108569313,3
organamnist,0.5,fedsa,150,63.656619245864256,25.748719004030068,3
organamnist,0.5,fedsa,165,81.6377833452252,3.3533974499342025,3
organamnist,0.5,fedsa,180,76.20661940378292,4.596004919385559,3
organamnist,0.5,fedsa,195,82.26042983295338,2.4589894438116664,3
organamnist,0.5,fedsa,210,82.85526106996721,3.6839421467385756,3
organamnist,0.5,fedsa,225,83.27575681980336,3.862315511846558,3
organamnist,0.5,fedsa,240,82.58827172136218,3.4511273101274895,3
organamnist,0.5,fedsa,255,83.13106477968653,4.034192667580924,3
organamnist,0.5,fedsa,270,83.29090254092756,3.480778704049769,3
organamnist,0.5,fedsa,285,81.9406353925873,4.051189282889825,3
organamnist,0.5,fedsa,300,82.73820726699279,3.7783106645303928,3
organamnist,0.5,cwfedavg,1,12.670090175483413,2.143935513329195,3
organamnist,0.5,cwfedavg,15,50.39984999526364,13.609995959247575,3
